Brand,brand_number,model,model_number,Year,Age,kmDriven,Transmission,Owner,FuelType,AskPrice
Volkswagen,1,Polo,25,2017,7,55200.0,0,0,0,590000
Tata,14,Tigor,153,2022,2,29000.0,0,0,2,700000
Hyundai,6,i10,37,2015,9,79000.0,1,0,0,340000
Hyundai,6,i10,37,2012,12,78000.0,1,0,2,250000
Datsun,26,GO Plus,299,2018,6,50002.0,1,0,0,270000
Maruti Suzuki,2,Baleno,3,2021,3,40022.0,1,0,0,640000
Renault,9,KWID,16,2019,5,160000.0,0,0,0,420000
Tata,14,Nano,141,2015,9,69000.0,1,1,0,114999
Nissan,21,Terrano,116,2014,10,80000.0,1,1,1,379000
Honda,0,City,0,2015,9,58000.0,0,1,2,500000
Tata,14,Altroz,60,2022,2,10000.0,0,0,0,990000
Toyota,5,Innova Crysta,14,2017,7,115000.0,0,1,1,1685000
Hyundai,6,Santro,179,2019,5,50000.0,0,0,2,490000
Hyundai,6,Elite i20,104,2019,5,24000.0,0,0,0,725000
Kia,7,Sonet,44,2020,4,38271.0,0,1,0,1045000
Maruti Suzuki,2,Ertiga,12,2024,0,12340.0,1,0,2,360000
Hyundai,6,i20,24,2014,10,86000.0,1,1,1,445000
Maruti Suzuki,2,Swift-Dzire,8,2023,1,79650.0,0,0,2,710000
Honda,0,City,0,2010,14,69500.0,0,1,2,286000
Kia,7,Sonet,44,2020,4,35000.0,1,0,1,950000
Tata,14,Nexon,45,2019,5,47000.0,1,0,0,599999
Maruti Suzuki,2,Ertiga,12,2013,11,90000.0,1,1,2,560000
Mahindra,13,Thar,50,2021,3,28000.0,1,0,1,1445000
Renault,9,KWID,16,2019,5,36000.0,1,1,0,310000
Maruti Suzuki,2,Wagon-R,32,2009,15,72000.0,1,1,0,129000
Volkswagen,1,Polo,25,2013,11,61000.0,0,0,0,410000
Maruti Suzuki,2,Wagon-R,32,2018,6,66000.0,1,0,2,390000
Maruti Suzuki,2,Swift,2,2015,9,67729.0,1,0,2,455000
Maruti Suzuki,2,Wagon R,192,2019,5,34000.0,1,0,2,565000
Maruti Suzuki,2,Vitara-Brezza,19,2020,4,51421.0,1,0,0,785000
Maruti Suzuki,2,Swift,2,2018,6,66000.0,0,0,2,530000
Honda,0,Amaze,70,2016,8,85000.0,1,1,2,310000
Maruti Suzuki,2,Grand Vitara,91,2022,2,21000.0,0,0,2,1300000
Mahindra,13,Scorpio,102,2019,5,42000.0,1,1,1,1400000
Maruti Suzuki,2,Eeco,57,2023,1,15000.0,1,0,0,600000
Toyota,5,Fortuner,48,2015,9,163000.0,1,0,1,1550000
Volkswagen,1,VentoTest,1,2011,13,110000.0,0,1,2,188000
Maruti Suzuki,2,S-Cross,137,2018,6,94000.0,1,0,1,839999
Maruti Suzuki,2,Ertiga,12,2021,3,90000.0,0,0,2,950000
Hyundai,6,i10,37,2010,14,120000.0,0,1,2,160000
Maruti Suzuki,2,Baleno,3,2018,6,32000.0,0,0,0,690000
Mahindra,13,XUV500,36,2016,8,122000.0,0,1,1,850000
Honda,0,Amaze,70,2013,11,77000.0,1,0,2,299000
Maruti Suzuki,2,Baleno,3,2020,4,40000.0,1,0,0,650000
Jeep,15,Compass,67,2018,6,52000.0,1,0,1,1049000
